-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2013 through 12/31/2022 
Location: Latitude  42.3554   Longitude -71.0605 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 71.06 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
TS                    MERRA-2 Earth Skin Temperature (C) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
TS_MAX                MERRA-2 Earth Skin Temperature Maximum (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
GWETPROF              MERRA-2 Profile Soil Moisture (1) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2014,-4.74,-4.67,-1.41,6.69,13.52,18.78,22.1,20.68,18.02,12.45,3.59,1.43,8.95
T2M,2015,-5.64,-10.22,-1.99,6.96,15.67,17.44,22.33,23.12,20.23,10.69,7.14,5.23,9.37
T2M,2016,-2.17,-0.86,3.71,6.53,13.24,19.15,24.03,24.05,19.2,11.76,5.92,-0.51,10.37
T2M,2017,-0.34,-0.52,-0.82,8.94,12.5,18.52,21.01,20.92,18.96,15.06,4.75,-2.85,9.73
T2M,2018,-4.25,0.5,0.81,5.33,15.19,18.22,23.14,23.3,18.93,10.32,3.3,-0.38,9.58
T2M,2019,-3.83,-2.63,0.53,7.93,12.38,18.44,23.24,21.82,18.01,12.26,2.83,-0.49,9.27
T2M,2020,-0.55,-0.92,3.5,5.62,12.46,19.7,24.17,23.38,18.42,11.89,7.25,0.72,10.51
T2M,2021,-2.45,-2.59,2.56,7.98,13.75,20.71,20.56,22.33,18.55,13.65,5.03,1.62,10.22
T2M,2022,-4.63,-1.7,2.71,7.68,14.55,18.87,24.55,24.59,17.84,12.01,7.28,0.9,10.46
RH2M,2013,84.38,82.75,82.62,74.94,78.31,81.31,83.06,74.5,74.88,76.75,70.12,88.38,79.38
RH2M,2014,84.94,91.19,77.69,80.56,79.56,77.56,75.81,72.75,72.19,80.56,81.44,88.19,80.12
RH2M,2015,88.38,99.06,85.5,79.88,74.44,79.62,75.06,69.56,70.81,74.75,81.0,87.38,80.31
RH2M,2016,84.5,85.62,80.81,76.06,78.38,69.25,64.31,65.75,70.0,78.62,80.81,83.75,76.44
RH2M,2017,86.12,89.19,77.81,83.69,81.5,80.12,79.44,73.06,75.88,76.31,78.56,84.25,80.44
RH2M,2018,88.62,88.06,85.12,79.81,79.94,78.25,75.06,79.5,80.0,83.06,86.25,86.38,82.5
RH2M,2019,87.44,86.0,83.88,81.31,80.5,79.31,78.06,73.19,71.75,79.56,80.56,88.62,80.81
RH2M,2020,86.56,87.06,80.44,79.5,75.38,75.56,72.25,65.44,67.38,76.94,81.56,86.31,77.81
RH2M,2021,86.06,88.56,76.81,78.19,75.12,75.94,85.25,82.44,82.31,83.44,79.12,84.44,81.44
RH2M,2022,83.94,86.81,81.69,76.31,76.5,72.25,61.69,65.44,75.5,80.75,79.12,83.75,76.94
TS_MAX,2013,13.79,7.86,11.94,20.19,28.56,28.3,31.58,30.17,32.13,25.2,19.9,12.31,32.13
TS_MAX,2014,12.12,7.46,10.22,19.28,24.04,28.4,30.14,30.99,31.06,25.12,16.72,12.8,31.06
TS_MAX,2015,6.19,0.35,10.14,18.21,26.06,26.48,32.69,33.12,32.95,22.6,21.27,18.64,33.12
TS_MAX,2016,12.23,12.72,17.76,21.19,30.19,30.08,33.76,34.26,32.23,24.12,18.66,13.26,34.26
TS_MAX,2017,13.13,16.87,13.28,23.73,26.68,28.51,29.51,29.95,30.5,25.43,20.24,13.02,30.5
TS_MAX,2018,13.08,17.37,14.15,18.84,27.04,31.1,32.67,33.26,32.67,25.56,17.62,14.1,33.26
TS_MAX,2019,11.33,11.77,15.7,18.9,24.94,28.74,31.64,30.67,29.84,24.44,20.03,13.0,31.64
TS_MAX,2020,15.67,10.58,15.66,16.55,25.55,30.36,34.68,33.8,30.89,24.12,21.09,15.99,34.68
TS_MAX,2021,7.79,6.45,18.87,20.74,27.1,32.9,29.17,31.78,26.8,23.36,17.74,14.61,32.9
TS_MAX,2022,7.87,15.15,18.65,17.47,27.73,31.74,34.54,35.44,30.72,23.19,21.57,13.31,35.44
T2M_MAX,2013,14.86,8.12,12.37,20.99,30.1,29.27,32.26,31.27,33.52,25.88,20.5,13.18,33.52
T2M_MAX,2014,12.85,7.83,10.78,20.08,25.39,29.28,31.01,31.94,31.92,25.81,17.31,13.41,31.94
T2M_MAX,2015,6.5,0.36,10.68,19.05,27.2,27.65,33.85,34.33,34.44,23.33,21.89,19.4,34.44
T2M_MAX,2016,12.8,13.19,18.86,22.26,31.61,30.94,34.71,35.74,33.48,24.9,19.43,13.59,35.74
T2M_MAX,2017,13.67,17.79,13.94,25.53,28.08,29.93,30.58,30.74,31.86,26.21,20.87,13.49,31.86
T2M_MAX,2018,13.85,18.34,14.92,19.96,28.7,32.16,33.66,34.57,33.55,26.26,18.11,14.8,34.57
T2M_MAX,2019,12.22,12.75,16.44,19.65,26.24,29.95,32.55,31.59,30.64,25.05,20.77,13.43,32.55
T2M_MAX,2020,16.55,11.17,16.57,17.45,26.59,31.8,35.61,34.9,31.87,24.75,22.34,16.73,35.61
T2M_MAX,2021,8.32,6.77,20.23,22.02,28.51,34.54,29.98,32.6,27.33,23.89,18.33,15.2,34.54
T2M_MAX,2022,8.13,16.01,20.06,18.37,29.19,32.78,36.12,36.83,31.66,23.93,22.17,13.91,36.83
GWETPROF,2013,0.65,0.68,0.76,0.7,0.59,0.64,0.55,0.45,0.44,0.42,0.42,0.53,0.57
GWETPROF,2014,0.66,0.7,0.74,0.78,0.7,0.57,0.47,0.42,0.38,0.45,0.56,0.73,0.59
GWETPROF,2015,0.79,0.79,0.84,0.8,0.64,0.55,0.48,0.39,0.38,0.45,0.48,0.55,0.59
GWETPROF,2016,0.67,0.72,0.75,0.73,0.63,0.48,0.38,0.36,0.36,0.45,0.52,0.61,0.55
GWETPROF,2017,0.7,0.76,0.74,0.8,0.77,0.68,0.52,0.43,0.42,0.43,0.57,0.61,0.62
GWETPROF,2018,0.68,0.78,0.84,0.81,0.73,0.57,0.45,0.45,0.48,0.59,0.76,0.86,0.66
GWETPROF,2019,0.89,0.91,0.88,0.83,0.8,0.66,0.53,0.43,0.41,0.45,0.56,0.71,0.67
GWETPROF,2020,0.79,0.8,0.78,0.8,0.73,0.52,0.42,0.36,0.36,0.41,0.52,0.68,0.6
GWETPROF,2021,0.75,0.78,0.75,0.7,0.65,0.53,0.59,0.52,0.52,0.54,0.63,0.65,0.63
GWETPROF,2022,0.7,0.78,0.8,0.77,0.65,0.48,0.38,0.34,0.42,0.48,0.52,0.64,0.58
PRECTOTCORR,2013,0.0,5.27,0.0,0.0,5.27,5.27,5.27,0.0,5.27,0.0,0.0,5.27,5.27
PRECTOTCORR,2014,5.27,5.27,5.27,0.0,0.0,0.0,5.27,0.0,0.0,5.27,5.27,5.27,5.27
PRECTOTCORR,2015,5.27,5.27,0.0,0.0,0.0,5.27,0.0,0.0,5.27,0.0,0.0,5.27,0.0
PRECTOTCORR,2016,0.0,5.27,5.27,0.0,0.0,0.0,0.0,0.0,0.0,5.27,0.0,5.27,0.0
PRECTOTCORR,2017,5.27,5.27,5.27,5.27,5.27,5.27,5.27,0.0,5.27,5.27,0.0,0.0,5.27
PRECTOTCORR,2018,5.27,5.27,5.27,5.27,0.0,5.27,5.27,5.27,5.27,5.27,10.55,5.27,5.27
PRECTOTCORR,2019,5.27,5.27,0.0,5.27,0.0,5.27,5.27,5.27,0.0,5.27,5.27,5.27,5.27
PRECTOTCORR,2020,0.0,5.27,5.27,5.27,0.0,0.0,0.0,0.0,0.0,5.27,5.27,5.27,5.27
PRECTOTCORR,2021,1.7,2.64,1.36,3.69,3.67,2.0,9.09,3.42,6.16,5.47,1.82,2.52,3.64
PRECTOTCORR,2022,2.34,4.73,2.33,3.34,1.45,2.21,1.41,1.96,4.11,3.71,2.83,4.98,2.93
ALLSKY_SFC_SW_DWN,2013,7.11,9.06,13.37,19.34,20.8,20.42,19.81,19.75,16.62,10.67,8.1,4.74,14.17
ALLSKY_SFC_SW_DWN,2014,6.73,9.54,13.13,17.69,18.29,22.79,21.85,19.63,16.4,9.56,6.83,4.86,13.95
ALLSKY_SFC_SW_DWN,2015,6.53,9.48,13.97,16.53,22.25,20.05,21.31,20.19,17.13,11.17,7.9,5.05,14.32
ALLSKY_SFC_SW_DWN,2016,7.03,9.76,13.96,18.75,18.64,24.01,22.06,20.5,14.86,10.72,7.61,5.98,14.5
ALLSKY_SFC_SW_DWN,2017,6.37,9.95,13.78,15.58,16.28,21.29,20.74,19.47,14.94,11.27,7.51,5.52,13.57
ALLSKY_SFC_SW_DWN,2018,6.67,8.69,12.72,15.47,20.23,21.46,23.49,18.11,12.81,8.85,5.92,6.51,13.44
ALLSKY_SFC_SW_DWN,2019,7.0,9.63,14.35,15.35,17.28,21.26,23.14,20.3,16.35,8.91,7.38,5.16,13.86
ALLSKY_SFC_SW_DWN,2020,6.96,9.36,13.86,15.27,23.11,22.56,21.97,19.0,15.94,9.88,7.01,5.1,14.18
ALLSKY_SFC_SW_DWN,2021,6.84,8.0,16.21,16.9,20.19,23.13,16.65,16.96,14.39,10.05,8.59,5.09,13.61
ALLSKY_SFC_SW_DWN,2022,6.97,9.82,13.66,17.61,21.73,22.47,23.55,19.98,15.26,10.92,8.16,6.02,14.71
