Local hr,Cloud,Humidity,Precip,Temp,Wind,Wbgt,class,alert color
21,42,87,0.0,73,8,71,0,Green
13,77,75,0.17,89,15,87,4,Black
12,5,11,0.0,107,8,84,3,Red
12,25,11,0.0,107,10,84,3,Red
13,92,94,0.07,77,9,76,0,Green
14,45,60,0.0,91,9,86,4,Black
16,2,52,0.0,87,10,79,0,Green
16,54,74,0.2,84,8,81,2,Orange
21,92,97,0.12,75,11,73,0,Green
11,7,12,0.0,100,6,81,2,Orange
15,32,73,0.04,89,6,86,4,Black
18,48,73,0.05,87,5,83,2,Orange
14,4,34,0.0,93,4,82,2,Orange
12,24,64,0.0,89,4,86,4,Black
11,26,77,0.0,87,5,86,4,Black
12,4,50,0.0,89,5,84,3,Red
14,6,15,0.0,86,7,68,0,Green
13,1,72,0.0,82,5,81,2,Orange
12,6,10,0.0,109,5,85,3,Red
12,0,33,0.0,86,12,75,0,Green
16,5,16,0.0,89,4,71,0,Green
12,9,15,0.0,102,3,83,2,Orange
13,34,72,0.09,89,15,88,4,Black
15,11,15,0.0,100,4,78,0,Green
18,41,72,0.01,89,5,85,3,Red
19,65,77,0.06,87,12,83,2,Orange
14,54,64,0.01,89,5,86,4,Black
10,5,10,0.0,104,4,84,3,Red
11,4,8,0.0,105,8,83,2,Orange
10,1,11,0.0,104,4,84,3,Red
12,37,80,0.01,86,4,86,4,Black
17,5,11,0.0,86,5,66,0,Green
19,55,77,0.05,84,3,79,0,Green
17,63,70,0.11,89,7,84,3,Red
10,73,87,0.01,66,6,64,0,Green
16,42,68,0.05,87,4,83,2,Orange
15,28,70,0.0,62,10,58,0,Green
14,53,66,0.0,89,6,86,4,Black
13,4,7,0.0,109,3,83,2,Orange
13,3,14,0.0,104,7,82,2,Orange
18,51,75,0.15,86,5,81,2,Orange
13,4,17,0.0,100,6,80,0,Green
